solicitation_number,title,agency,docname,document_token,attempted_url,resolved_url,downloaded,parsed,parse_elapsed_s,parse_error,extracted_text_len,sha256,bytes,pdf_path,http_status,content_type,stage,ok
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd7.pdf,RENLQS0yMDE5LVEtMDA0McKmezIwQUNCMDZDLTAwMDAtQ0IxNy1BRjk1LUZFNDVDMzdCODE5Q30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezIwQUNCMDZDLTAwMDAtQ0IxNy1BRjk1LUZFNDVDMzdCODE5Q30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezIwQUNCMDZDLTAwMDAtQ0IxNy1BRjk1LUZFNDVDMzdCODE5Q30=,True,False,9.232,parse_timeout>8.0s,0.0,266b5b5ac5afb807385599ab89d129ede19a5ccc59675a9f8167a85c1ecc93ec,258789.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd7.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd3.pdf,RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,True,True,1.41,,3622.0,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,111571.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd3.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd4.pdf,RENLQS0yMDE5LVEtMDA0McKme0YwRkVCODZCLTAwMDAtQ0YxNy04N0Q2LTc0QjIzM0MzQjIyMX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0YwRkVCODZCLTAwMDAtQ0YxNy04N0Q2LTc0QjIzM0MzQjIyMX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0YwRkVCODZCLTAwMDAtQ0YxNy04N0Q2LTc0QjIzM0MzQjIyMX0=,True,True,1.399,,3719.0,15a4b07079f8a7383a6e0163d17e81bea4514b3f4ede893a66399a41fcb93372,31091.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd4.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Att1.pdf,RENLQS0yMDE5LVEtMDA0McKme0YwOEM5NzZBLTAwMDAtQ0ExNi1BMkFBLTJCRjYxRThENEVBNX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0YwOEM5NzZBLTAwMDAtQ0ExNi1BMkFBLTJCRjYxRThENEVBNX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0YwOEM5NzZBLTAwMDAtQ0ExNi1BMkFBLTJCRjYxRThENEVBNX0=,True,False,9.196,parse_timeout>8.0s,0.0,80c596ddc2ac08b57f4c32d03cc65440b2eeb70877eea2c53e87c9048577afdc,369378.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Att1.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd5.pdf,RENLQS0yMDE5LVEtMDA0McKme0EwNDIyMDZDLTAwMDAtQ0QxOC05MjhBLUU2NDMxOTQwNzU5OX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0EwNDIyMDZDLTAwMDAtQ0QxOC05MjhBLUU2NDMxOTQwNzU5OX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0EwNDIyMDZDLTAwMDAtQ0QxOC05MjhBLUU2NDMxOTQwNzU5OX0=,True,True,1.369,,3562.0,271d310eeaba5d220e9d54ea6a5914dd75df27007c6401f94b1010e665a0a1a3,34521.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd5.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd1.pdf,RENLQS0yMDE5LVEtMDA0McKmezcwOTdEQTZBLTAwMDAtQzQxMS1BQ0RDLTk5MTMwQTdFMzg1RH0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezcwOTdEQTZBLTAwMDAtQzQxMS1BQ0RDLTk5MTMwQTdFMzg1RH0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezcwOTdEQTZBLTAwMDAtQzQxMS1BQ0RDLTk5MTMwQTdFMzg1RH0=,True,True,1.407,,3872.0,1e2c259c87e18f46f88223f155058f10253408f91777da89e328633b3ea7532a,447446.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd1.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd8.pdf,RENLQS0yMDE5LVEtMDA0McKme0UwREQ0NTZELTAwMDAtQ0IxQS04RTI5LTkwMDU5NUJBMEY1M30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0UwREQ0NTZELTAwMDAtQ0IxQS04RTI5LTkwMDU5NUJBMEY1M30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0UwREQ0NTZELTAwMDAtQ0IxQS04RTI5LTkwMDU5NUJBMEY1M30=,True,True,1.361,,4632.0,daff043eb5c24563f5debeedab46e9648f1993cdb79c8f5a179596c034c45e09,71695.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd8.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd6.pdf,RENLQS0yMDE5LVEtMDA0McKmezAwOUE3NjZDLTAwMDAtQ0YxRS04NTMwLUYxRDFCRTY2RTZBQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezAwOUE3NjZDLTAwMDAtQ0YxRS04NTMwLUYxRDFCRTY2RTZBQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezAwOUE3NjZDLTAwMDAtQ0YxRS04NTMwLUYxRDFCRTY2RTZBQn0=,True,True,1.383,,3549.0,883049569afdef842b5bfcf5f0c1f9ebfc7a47bc7c1c3b15812290f24e8de9b4,34525.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd6.pdf,,,,
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,DCKA-2019-Q-0041_Amd2.pdf,RENLQS0yMDE5LVEtMDA0McKmezAwQ0Y0QjZCLTAwMDAtQzgxMC04Njk5LUVDMDlBOTYzQzlCQX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezAwQ0Y0QjZCLTAwMDAtQzgxMC04Njk5LUVDMDlBOTYzQzlCQX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKmezAwQ0Y0QjZCLTAwMDAtQzgxMC04Njk5LUVDMDlBOTYzQzlCQX0=,True,True,1.336,,3842.0,cb6b652b4e14c4d4e0c5e24fa58875d00f60fb0373cd348b3b922cdff707a4e2,37125.0,data\raw\dc_pass_docs\DCKA-2019-Q-0041_Amd2.pdf,,,,
DCKA-2019-R-0076,DIGITAL CURBSIDE PERMIT MANAGEMENT SYSTEM,DDOT,DCKA-2019-R-0076_Amd2.pdf,RENLQS0yMDE5LVItMDA3NsKme0YwMEMxQjZDLTAwMDAtQzkxRi1BMzk0LTQ0MTY1NjlCQkU5Rn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVItMDA3NsKme0YwMEMxQjZDLTAwMDAtQzkxRi1BMzk0LTQ0MTY1NjlCQkU5Rn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVItMDA3NsKme0YwMEMxQjZDLTAwMDAtQzkxRi1BMzk0LTQ0MTY1NjlCQkU5Rn0=,True,False,9.142,parse_timeout>8.0s,0.0,ecf4d3df143c8e0a9761279df8ab0aea30c8b07b107d8eff0ac82e6df3fb6137,1164647.0,data\raw\dc_pass_docs\DCKA-2019-R-0076_Amd2.pdf,,,,
DCKA-2019-R-0076,DIGITAL CURBSIDE PERMIT MANAGEMENT SYSTEM,DDOT,DCKA-2019-R-0076_Amd1.pdf,RENLQS0yMDE5LVItMDA3NsKmezMwMzNEMjZCLTAwMDAtQzExOS1BMTFDLTVCMTZGRkFENjNCMX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVItMDA3NsKmezMwMzNEMjZCLTAwMDAtQzExOS1BMTFDLTVCMTZGRkFENjNCMX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVItMDA3NsKmezMwMzNEMjZCLTAwMDAtQzExOS1BMTFDLTVCMTZGRkFENjNCMX0=,True,False,9.153,parse_timeout>8.0s,0.0,42fa76d239044d21c66492bcf8015ef785f8b6aea8da8799a8cfe1a3ca5770d8,1636564.0,data\raw\dc_pass_docs\DCKA-2019-R-0076_Amd1.pdf,,,,
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd7.pdf,RENLQS0yMDE5LUItMDA4OMKmezQwQkY1OTcwLTAwMDAtQzcxMi1BNUVELUUwMTUyMTcxREU0RX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezQwQkY1OTcwLTAwMDAtQzcxMi1BNUVELUUwMTUyMTcxREU0RX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezQwQkY1OTcwLTAwMDAtQzcxMi1BNUVELUUwMTUyMTcxREU0RX0=,True,True,1.474,,5625.0,f9596ce64e12bf026bec38c90ff1197dbb1e410aee0f066d62790bb26d573803,227158.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd7.pdf,,,,
