SOLICITATIONNUM,DOCUMENTNUM,DOCUMENTTYPE,DOCNAME,DOCSIZE,GUID,SOURCE,RECEIPTDATE,ACTIVE,REC_CREATED_DATE,REC_UPDATED_DATE,DCS_LOAD_DATE,OBJECTID
DCKA-2019-Q-0041,,Amendment 1,DCKA-2019-Q-0041_Amd1.pdf,437 KB,{7097DA6A-0000-C411-ACDC-99130A7E385D},PASS,1558411200000,1,1558411200000,,1558411200000,1
DCKA-2019-R-0076,,Amendment 1,DCKA-2019-R-0076_Amd1.pdf,2.1 MB,{3033D26B-0000-C119-A11C-5B16FFAD63B1},PASS,1562126400000,1,1562126400000,,1562558400000,2
DCKA-2019-B-0088,,Amendment 2,DCKA-2019-B-0088_Amd2.pdf,127 KB,{D0D2846E-0000-C11D-B091-0422EBC287AD},PASS,1574139600000,1,1574139600000,,1574139600000,3
DCKA-2019-B-0088,,Amendment 1,DCKA-2019-B-0088_Amd1.pdf,214 KB,{70D2846E-0000-C51A-8261-BCFDAF969B46},PASS,1574139600000,1,1574139600000,,1574139600000,4
DCRL-2020-R-0042,,Attachment 1,DCRL-2020-R-0042_Att1.pdf,1.2 MB,{005BB56F-0000-CA15-9C75-A69C33AA9332},PASS,1579150800000,1,1579150800000,,1579237200000,5
DCKA-2019-B-0088,,Amendment 6,DCKA-2019-B-0088_Amd6.pdf,97 KB,{B05AB56F-0000-C91C-BB8A-040E847688A6},PASS,1578978000000,1,1578978000000,,1579237200000,6
DCKA-2020-B-0011,,Amendment 3,DCKA-2020-B-0011_Amd3.pdf,260 KB,{505AB56F-0000-C11A-8D07-883EF126E965},PASS,1578978000000,1,1578978000000,,1579237200000,7
DCKA-2021-B-0007,,Amendment 2,DCKA-2021-B-0007_Amd2.pdf,113 KB,{A0786D77-0000-CD1A-8277-46B7FEE5AD4E},PASS,1612328400000,1,1612328400000,,1612328400000,8
DCKA-2021-D-0018,,Amendment 2,DCKA-2021-D-0018_Amd2.pdf,856 KB,{20786D77-0000-C41B-AC5C-C2654B323066},PASS,1611723600000,1,1611723600000,,1612328400000,9
DCEB-2021-R-0001,,Amendment 4,DCEB-2021-R-0001_Amd4.pdf,131 KB,{80776D77-0000-C41D-ADDE-03564A0FF334},PASS,1610686800000,1,1610686800000,,1612328400000,10
DCEB-2021-R-0001,,Amendment 3,DCEB-2021-R-0001_Amd3.pdf,198 KB,{00776D77-0000-C61F-8539-73B385A0845B},PASS,1610514000000,1,1610514000000,,1612328400000,11
DCKA-2021-B-0007,,Amendment 1,DCKA-2021-B-0007_Amd1.pdf,112 KB,{80766D77-0000-CA1E-BBD6-8513B5C2B10C},PASS,1609909200000,1,1609909200000,,1612328400000,12
DCEB-2021-R-0001,,Amendment 2,DCEB-2021-R-0001_Amd2.pdf,255 KB,{D0756D77-0000-CA14-AA51-6855C88AB518},PASS,1608008400000,1,1608008400000,,1612328400000,13
DCKA-2021-B-0040,,Amendment 2,DCKA-2021-B-0040_Amd2.pdf,161 KB,{50B3B178-0000-C21E-8AB7-B41555C6AC52},PASS,1617854400000,1,1617854400000,,1617854400000,14
DCKA-2021-B-0051,,Amendment 1,DCKA-2021-B-0051_Amd1.pdf,108 KB,{50F2547B-0000-CD1F-BC70-C6E7949191D3},PASS,1629086400000,1,1629086400000,,1629086400000,15
DCKA-2022-B-0005,,Amendment 3,DCKA-2022-B-0005_Amd3.pdf,2.7 MB,{70262C7E-0000-CA16-8BC3-16D0E5FD574E},PASS,1641358800000,1,1641358800000,,1641358800000,16
DCKA-2022-B-0005,,Amendment 2,DCKA-2022-B-0005_Amd2.pdf,207 KB,{20262C7E-0000-C615-A372-39866DCFD3D5},PASS,1641272400000,1,1641272400000,,1641272400000,17
